ID;year;sentiment_per_speech;sentiment_per_extracted_words;count;count_out_of
Protocol_1908_12_05_01;1908;-0.049807273;-0.03420722;2;10
Protocol_1908_12_11_01;1908;-0.048118367;-0.05503974;1;10
Protocol_1909_01_18_01;1909;0.030788095;-0.11853333;3;8
Protocol_1909_01_18_02;1909;-0.003426667;-0.18095;4;8
Protocol_1909_01_18_03;1909;0.11305;0.0888;1;8
Protocol_1909_01_18_04;1909;-0.09328658;-0.04001678;4;10
Protocol_1909_01_18_05;1909;0.045690909;0.0961;1;7
Protocol_1909_01_18_06;1909;0.018105556;0.01669;2;6
Protocol_1909_01_19_01;1909;-0.118716667;-0.21823333;2;6
Protocol_1909_01_19_02;1909;-0.141638889;-0.154175;3;7
Protocol_1909_01_19_03;1909;-0.240813636;-0.29909;1;8
Protocol_1909_01_19_04;1909;-0.121483333;-0.115675;2;7
Protocol_1909_01_28_01;1909;-0.02345;-0.355;1;9
Protocol_1909_04_23_01;1909;-0.098730224;0.0289537;4;10
Protocol_1909_04_23_02;1909;-0.159109524;-0.13127222;1;8
Protocol_1909_04_23_03;1909;-0.055204;-0.11278;3;10
Protocol_1909_04_24_01;1909;-0.180930769;-0.09011259;4;9
Protocol_1910_01_15_01;1910;-0.048072222;-0.0003625;2;8
Protocol_1910_01_20_01;1910;0.072307143;0.091;4;9
Protocol_1910_01_31_01;1910;0.031825;-0.099466667;3;8
Protocol_1910_01_31_02;1910;-0.079133333;-0.5365;2;3
Protocol_1911_02_21_01;1911;-0.158961905;-0.08240833;3;8
Protocol_1911_02_21_02;1911;0.02661;0;3;9
Protocol_1911_02_21_03;1911;-0.017815625;-0.2853;1;7
Protocol_1911_02_22_01;1911;-0.172178947;-0.0185;1;8
Protocol_1911_02_22_02;1911;-0.119715385;-0.0778;5;10
Protocol_1911_02_22_03;1911;-0.173901923;-0.13533333;1;9
Protocol_1912_05_18_01;1912;-0.00528;-0.0048;1;4
Protocol_1913_02_08_01;1912;0.038118182;0.004;1;8
Protocol_1913_02_08_02;1913;0.063131579;0.0543325;1;7
Protocol_1913_02_08_03;1913;-0.063628571;0.0016;1;7
Protocol_1913_02_11_01;1913;-0.104159091;-0.0048;5;9
Protocol_1913_02_13_01;1913;-0.122157143;-0.06918958;2;8
Protocol_1913_04_03_01;1913;-0.06295625;-0.08605;1;10
Protocol_1913_04_19_01;1913;-0.4017;0;1;6
Protocol_1914_02_16_01;1914;-0.07815625;-0.383;1;8
Protocol_1914_02_17_01;1914;0.004185714;-0.06255;2;6
Protocol_1914_05_14_01;1914;0.004;0;1;2
