;id;type;legislative_period;session;volume_pdf;volume_protocol;session_number;date;year;speaker;title_toc;search_term;pp;homosexuality_main;political_orientation;party;position;denomination;origin_city;origin_region;constituency;profession;professional_group;comment;content
21;Protokolle_1905_03_31_09;Sitzung;XI;I;8;204;177;31.03.1905;1905;Wilhelm von Kardorff;Beratung von Berichten der Petitionskommission - 19. Bericht Aenderung des paragraph 175 des Strafgesetzbuchs (Nr. 407 der Anlagen);;5841–5842;1;konservativ;Deutsche Reichspartei;Abgeordneter;evangelisch;Neu-Strelitz;Mecklenburg;3 Breslau;"Landrat a.D.; Rittergutsbesitzer";Verwalter/Beamter;;ich ausfuehrungen abgeordneten thiele verstorbenen kollegen krupp worte bemerke nachricht aufenthalt capri augenblick zugegangen ist festgestellt capri bekaempften parteien eingeborenen sehr heftig krupp stellte partei bekaempfte partei partei grossen geldmitteln unterstuetzte grosser vorteil buergermeister — weiss lautet — gewaehlt momente flut verdaechtigungen verleumdungen unbeschreiblicher natur moechte feststellen berliner polizei sittenpolizei unterstellt verirrungen kontrolle unterwerfen sehr genau bescheid weiss beziehung grossstadt vorgeht wiederholt versichert name krupp ueberhaupt genannt (hoert hoert rechts) verdaechtigen „leipziger volkszeitung legende krupp albernes maerchen „vorwaerts bezeichnet sozialdemokratischen partei sehr geschadet (sehr richtig rechts zuruf sozialdemokraten) hinzuzufuegen hielt verpflichtet auszufuehren sehr bedauert name verewigten freundes frueheren reichstagskollegen krupp hochachtung gezollt debatte hineingezerrt (bravo rechts) . .
22;Protokolle_1905_03_31_10;Sitzung;XI;I;8;204;177;31.03.1905;1905;Friedrich Adolf Thiele;Beratung von Berichten der Petitionskommission - 19. Bericht Aenderung des paragraph 175 des Strafgesetzbuchs (Nr. 407 der Anlagen);"*sexu*; *wissenschaftlich humanitaer*; paragraph175";5842;1;sozialdemokratisch;SPD;Abgeordneter;Dissident;Dresden;Koenigreich Sachsen;8 Naumburg;"Volksschullehrer; Oberlehrer; Redakteur; Schriftsteller; Verleger";Autor/Journalist;;meine widerlegung kardorff gehoert beweiskraft satzes schlimm bestellt einfach wahr sinne kardorff behauptet „leipziger volkszeitung mitteilung „vorwaerts einfaeltiges maerchen bezeichnet kardorff „leipziger volkszeitung „leipziger volkszeitung materie gekuemmert erklaerte taktisch vorgehen „vorwaerts richtig weiss kardorff gebrauchten ausdruecke standen „leipziger volkszeitung behauptungen „vorwaerts homosexuellen verkehr krupps unrichtig kellner berlin erboten zeugen krupp auszusagen gegenpartei krupps capri gedungen wozu dementieren versuchen dementieren laesst dementiert abgeordnete thaler glaubt bischof haffner dienst erweisen kollege thaler gewusst neues beweismaterial richtung verlesung braechten bischof haffner erwaehnt egal haffner beseitigung paragraf 175 angefuehrt zentrum partei nahestehende personen freundliche stellung aufhebung paragraf 175 einnehmen glaubt kollege thaler beweisen — indirekt hinterlassenen schriften freunden — unmoeglich meinetwegen mag unmoeglich kuemmere notwendigkeit aenderung paragraf 175 mindesten verstaerkt bischof anerkennt kollege thaler bischof haffner dienst erwiesen worten gegenteil herauslesen meinte herausgelesen weiss bischof haffner beseitigung einschraenkung verschaerfung paragraf 175 ausdehnung weibliche geschlecht reden petition unterschrieben sinn zweck zweifel obwalten (zuruf mitte) gegenteiligen behauptungen thaler unzweifelhaft bischof haffner humanitaeren komitee geforderte abaenderung paragraf 175 . .
23;Protokolle_1905_03_31_11;Sitzung;XI;I;8;204;177;31.03.1905;1905;Graf Franz von Ballestrem;Beratung von Berichten der Petitionskommission - 19. Bericht Aenderung des paragraph 175 des Strafgesetzbuchs (Nr. 407 der Anlagen);paragraph175;5842;1;politischer Katholizismus;Zentrum;Praesident ;katholisch;Plawniowitz;Provinz Schlesien;4 Oppeln;"Majoratsherr; Major a.D.";Militaer;;die diskussion geschlossen worte meldet kommission uebergang tagesordnung petition 369 di mod hirschfeld charlottenburg genossen aufhebung 8 strafgesetzbuchs diejenigen kommission stimmen bitte erheben (geschieht) mehrheit . .
24;Protokolle_1905_05_12_01;Sitzung;XI;I;8;204;184;12.05.1905;1905;Wolfgang Heine;Beratung von Berichten der Petitionskommission: 9. Bericht - Unterdrueckung schlechter Literatur- und Kunsterzeugnisse (Nr. 310 der Anlagen);widernat*;5979;0;sozialdemokratisch;SPD;Abgeordneter;evangelisch;Posen;Provinz Posen;3 Berlin;Rechtsanwalt;Jurist;hier S. 5979;aber — stimme vollstaendig kollegen roeren — menschen widernatuerlichen reiz geschlechtlichen literatur anschauen nuditaeten empfinden unkeusch unkeuschheit meistens menschen (sehr richtig sozialdemokraten) sehr bildern schriften heilige schriften wissen unkeuschen menschen unkeuscher weise missbraucht ernste kunstwerk gilt seelen bewahren geschehen vollstaendig geschlechtlichen fernhaelt wende eifer klapperstorchphilosophie (heiterkeit) kleinlichen kindereien erhaelt menschen keuschheit geschlechtliche ueberhaupt ueberaus besonderes wichtiges ansehen lehrt kinder hoeren „geschlechtlich tabu vorhang gucken geheimnis geschlechtlich unsittlich wissen sie unsittlichen welt sies recht probieren verkehrte methode jugend bewahren wiederhole gefahr jugend fruehzeitig sittlich staerkt interesse richtet kindern freie seelen schafft natuerlichem zurueckschrecken schmutz zurueckschaudern  . .
25;Protokolle_1906_03_03_01;Sitzung;XI;II;2;215;56;03.03.1906;1906;D. Christian Adolf Stoecker;Fortsetzung der zweiten Beratung des Reichshaushaltsetats fuer das Rechnungsjahr 1906, — Reichsjustizverwaltung (Fortsetzung und Schluss) -  Besoldung des Staatssekretaers, bezw. Rechtspflege im allgemeinen — (Fortsetzung und Schluss der Diskussion) — Zeugenvernehmungen, Vertrauen zur Rechtsprechung bezw. Beschwerden ueber dieselbe, Bekaempfung der unsittlichen Literatur usw., Gesinderecht, Wechselprotestverfahren, Pyritzer Verhaeltnisse usw.;*sexu*;1710–1713;0;antisemitisch;Christlich-soziale Partei;Abgeordneter;evangelisch;Halberstadt;Provinz Sachsen;1 Arnsberg;Hof- und Domprediger a.D.;Geistlicher;hier S. 1712;ganz angeboten bilder homosexualitaet maennern frauen kemmer pruefung 1299 verschiedene weibliche homosexuelle bilder 274 maennliche gelegen anzeigeblatt bilder unzucht menschen tieren sodass gymnasiast versuchte tochter bestellen blaettern lauter blutschande unzucht muettern toechtern geschwistern geschwistern strom grausiger verderbnis begreife anzeigen seelenmoerderischen angeboten gerichte inserieren anzeigen bestrafen abhilfe wahr post verschliesst sendungen ausland postvertrieb geschaefte verschiedene adressen bilderunwesen weise die ursache schaendlichkeit anzeigen schlechter blaetter tribuene anzeige heruntergereicht kleine witzblatt jaehrlich 5 millionen exemplaren verbreitet blaettern zweifel schlimmste pariser budapester scheusslichkeiten angezeigt, sodass blatt preis 10 pfennig potsdamer bahnhof kauft moeglichkeit seele vergiften verkauf geschieht augen obrigkeit strasse erlaubt . .
26;Protokolle_1907_03_02_01;Sitzung;XII;I;;227;8;02.03.1907;1907;Dr. jur. can. Franz Xaver Schaedler;Fortsetzung der ersten Beratung: a) des Entwurfs eines Gesetzes betreffend die Feststellung des Reichshaushaltsetats fuer das Rechnungsjahr 1907, b) des Entwurfs eines Gesetzes betreffend die Feststellung des Haushaltsetats fuer die Schutzgebiete auf das Rechnungsjahr 1907, c) der Ergaenzung zum Entwurf des Reichshaushaltsetats fuer das Rechnungsahr 1907, (Nr. 9, 10, 74 der Anlagen);"eulenburg; philister";176–188;0;politischer Katholizismus;Zentrum;Abgeordneter;katholisch;Oggersheim;Koenigreich Bayern;5 Oberfranken;"Domdechant; apostolischer Protonotar; paepstlicher Hauspraelat; erzbischoeflicher Geistlicher Rat";Geistlicher;hier S. 183, eulenburg nur in Zuruf!;ob mietskontrakt dauert — interessant erfahren gespensterfurcht lucanus schwinden umgeht manchesmal wilhelmstrasse 77 sehr rasch gegangen kanzler beschwert moebel hinausbringen zweiten kanzler philister umgebracht liebenberg (zuruf sozialdemokraten eulenburg) — liebenberg (heiterkeit) — dritten kanzler ungeheuer rasch gegangen versicherung vierten hypotheken aeusserst gewagte niemanden zumuten besser . .
27;Protokolle_1907_11_28_01;Sitzung;XII;I;;229;60;28.11.1907;1907;Bernhard Fuerst von Buelow;Erste Beratung der Entwuerfe a) eines Gesetzes betreffend die Feststellung des Reichshaushaltsetats fuer das Rechnungsjahr 1908, b) eines Gesetzes betreffend die Feststellung des Haushaltsetats fuer die Schutzgebiete auf das Rechnungsjahr 1908, c) eines Gesetzes zur Aenderung des paragraph 2 des Gesetzes betreffend die deutsche Flotte vom 14. Juni 1900 (Reichsgesetzblatt Seite 255) — (Nr. 477, 478, 474 der Anlagen);"sodom*; moltke-harden; kamarilla; eulenburg; ";1880–1881;1;k.A.;parteilos;Reichskanzler;evangelisch;Klein Flottbek;Hansestadt Hamburg;;"Jurist; Diplomat; Staatssekretaer; Riechskanzler";Verwalter/Beamter;;meine absicht verlauf debatte ergreifen abwesenheit kriegsministers genoetigt sogleich weise wenden abgeordnete spahn einzelheiten prozesses moltkeharden zustaende armee gesprochen (bravo rechts) abgeordnete spahn verseuchung kavallerieregimenter gesprochen gemeint eltern bedenken soehne gewisse kavallerieregimenter eintreten handelt unerwiesene behauptungen beweis hohen hause wiederholt (sehr richtig) weise allgemeinheit erhobenen vorwurf nachdruck entschiedenheit (bravo rechts) gewiss prozess moltkeharden sittliche verfehlungen einzelner glaubhaft ekel scham erfuellt (bravo) zweifle augenblick militaerverwaltung geschehen greuel isiro lani auszurotten (bravo) wende auffassung deutsche volk deutsche heer innersten kern vollkommen gesund (bravo sehr richtig) sittlichen ernst kaiserpaares zweifelt familienleben lande schoenes vorbild deutsche volk sodom deutschen armee herrschen zustaende sinkenden roemischen kaiserreich (bravo) verlassen kaiser scharfem besen ausfegen reinheit wesens hauses passt (lebhaftes bravo) verfehlungen einzelner mitglieder oberen gesellschaftsklassen — recht verehrte abgeordnete freiherr richthofen ausgefuehrt — korruption adels verseuchung armee schliessen ungerecht toericht tendenzioesen verallgemeinerungen (sehr richtig) berufsstaenden kreisen unwuerdige elemente einzelne beruf kreis unehre gereichen (sehr wahr rechts) vorhandensein elemente bedeutet sittliche verkommenheit standes kreises gesellschaft zustaende wissentlich duldet reinigt macht mitschuld schuldig (sehr richtig) gott adel buergertum militaerischen kreise buergerlichen berufe ehrenwert ausschreitungen einzelner beschmutzen (bravo rechts) abgeordnete spahn schien wundern vorgaenge kenntnis obersten stelle glaube militaerischen instanzen beziehung vorwurf trifft versehen nachlaessigkeit schulden (zuruf links) kriegsminister naechsten sitzung darlegen gefragt reichskanzler majestaet kaiser informiert erwidere greifbares fruehjahr kenntnis majestaet kaiser „zukunft vorgelegt gewisse hofe nahestehende persoenlichkeiten schwere anschuldigungen erhoben throne naechststehende hohe berechtigt kronprinz erfuellte akt pietaet kaiserlichen vater handelte interesse landes aufmerksamkeit vaters angriffe lenkte handlung offizielle staatsakt verantwortlicher minister befindet verantwortlicher minister schwerwiegende anschuldigungen erheben beschuldigungen beweise vorzulegen (sehr richtig) geklatscht gelogen (sehr richtig) gegenstand unwuerdiger verdaechtigungen sinnloser verleumdungen (lebhafte rufe sehr wahr) blosse beschuldigungen reichskanzler einschreiten majestaet kaiser angelegenheit gesprochen majestaet duerfe rechts denken schild hauses schild armee rein majestaet seele gesprochen (lebhaftes bravo) thema „kamarilla moechte versuch abgeordneten spahn wenden „norddeutschen allgemeinen zeitung erschienene notiz sinne anzuhaengen entrefilet thema „kamarilla allgemeine beachtung jahre stelle kamarilla deutsches kamarilla fremde giftpflanze versucht giftpflanze deutschland einzupflanzen grossen schaden fuersten grossen schaden volk negationen ergeben bejahung eingefallen vorhandensein kamarillen deutschen fuerstenhoefen vergangenheit abrede leugnung geschichtlichen existenz kamarilla deutschland halbes mund gelegt leipziger blatt „leipziger neuesten nachrichten zitierten wiederholt damalige aeusserung anfuehrung negation weglassung sodass gegenteil wirklichkeit grossen verbreitung leipziger blattes irrtum legende auswachse wiederholt passiert mehrmals aeusserungen mund gelegt sinn tendenz vollkommen fern gelegen erinnere angedichtete „nur inneren krisen augen tausender gebildeter leser lichte unkenntnis historischer vorgaenge dastehen schrieb rand zeitungsausschnittes — finde nachher — „unsinn viaes vielten dementieren einfache weise notiz „norddeutschen allgemeinen zeitung entstanden versuch zusammenhang konstruieren notiz „norddeutschen allgemeinen zeitung angriffen fuersten eulenburg „norddeutsche allgemeine zeitung verschiedene zeitungen abgedruckt zutreffend ausgefuehrt zusammenhang bestehe reichskanzler vaterschaft unhistorischen wortes abgewehrt gegenwart angeht kaiser wilhelm wiederholen jahre unbillig ungerecht halte ring unverantwortlicher ratgeber kaiser sprechen versuche einzelner einfluss gewinnen (sehr richtig) fraktion familie firma fabrik bemueht massgebende person mag fraktionsvorstand familienvater industrieller gutsbesitzer richtung beeinflussen kaiser jahren verdienstvollen leiter hamburgamerikalinie ballin male sah sprach ballinkamarilla (heiterkeit) denke leugnen hoefische kamarillen vergangenheit hoefen schaden angerichtet tiberius sejan favoritenwirtschaft vorigen jahrhunderts monarch beschaffen kamarilla entwickeln einfluss gewinnen — einflusslose kamarilla ueberhaupt kamarilla voraussetzung gedeihen giftpflanze abgeschlossen unselbstaendigkeit monarchen (sehr richtig) kaiser vorwurf menschen vorwurf macht abschloesse verkehr willen (grosse heiterkeit) wissens vorgeworfen denke gerede geraune gefluester kamarilla endlich einzustellen (sehr gut) werfen hingehoert vergangenheit ergriffen vorwurf wenden abgeordneten spahn nahestehenden presse begegnet behauptung aufloesung reichstags betrieben persoenliche angriffe intrigen schuetzen aufloesung reichstags kamarilla intrigen allsolchem zeug allermindeste (sehr richtig) verbuendeten regierungen aufloesung reichstags vorgeschlagen zentrumspartei verwerfung reichskolonialamts verweigerung bahnbau kubub keetmannshoop einmischung inneren beamtenverhaeltnisse kolonien vorstoss abgeordneten roeren neuen kolonialdirektor (unruhe mitte) geduld regierung harte probe gestellt (lebhafter widerspruch mitte) zentrumspartei vorgaenge 13 dezember regierung nationalen eigensinnig macht fuehlen (stuermischer widerspruch mitte — lebhafter beifall rechts links) reichskanzler zurueckgewichen reichskanzler vorgehen unterworfen vertrauen verbuendeten regierungen ehre reputation verloren (lebhafte zustimmung rechts links) laufe debatte beruehrt behalte demnaechst zurueckzukommen (lebhaftes bravo rechts — zischen mitte) . .
28;Protokolle_1907_11_28_02;Sitzung;XII;I;;229;60;28.11.1907;1907;Karl Friedrich Freiherr von Richthofen-Damsdorf;Erste Beratung der Entwuerfe a) eines Gesetzes betreffend die Feststellung des Reichshaushaltsetats fuer das Rechnungsjahr 1908, b) eines Gesetzes betreffend die Feststellung des Haushaltsetats fuer die Schutzgebiete auf das Rechnungsjahr 1908, c) eines Gesetzes zur Aenderung des paragraph 2 des Gesetzes betreffend die deutsche Flotte vom 14. Juni 1900 (Reichsgesetzblatt Seite 255) — (Nr. 477, 478, 474 der Anlagen);"paragraph175; widernat*";1876–1879;0;konservativ;Deutschkonservative Partei;Abgeordneter;evangelisch;Berlin;Provinz Brandenburg;9 Breslau;"Rittergutsbesitzer; Regierungsrat; Oberregierungsrat a. D.; Rittmeister a. D. zu Kohlhoehe";Verwalter/Beamter;hier S. 1879;meine widernatuerlichen verfehlungen denke genau kollege heckscher erklärung hamburger fremdenblatt vorlesen praegnanz form beste (sehr richtig rechts) hoffen energie unterdrueckt gemindert zweifel energie verwaltung ausreichen unsererseits bereit verschaerfung paragraf 175 erwaegung (sehr richtig rechts) besonders faelle autoritative gewalt vorgesetzten betracht  vorhin missbrauch dienstgewalt vorgekommen ist nachgewiesen beziehung ankommen staatliche autoritaet durchgretst ordnung erhalten behaupten wesentlicher gesichtspunkt liegen partei allezeit gebiete verfolgen gedenkt bemerkte vorhin aehnlichen gesichtspunkten finanziellen anforderungen etats pruefen auswaertigen politik erwaehnte freilich finanziellen anforderungen neuen flottenvorlage sehr grosse begruendungen gehoert genuegen erwarten kommission aufklaerungen bekommen grunde urteil . .
29;Protokolle_1907_11_28_03;Sitzung;XII;I;;229;60;28.11.1907;1907;Dr. Peter Spahn;Erste Beratung der Entwuerfe a) eines Gesetzes betreffend die Feststellung des Reichshaushaltsetats fuer das Rechnungsjahr 1908, b) eines Gesetzes betreffend die Feststellung des Haushaltsetats fuer die Schutzgebiete auf das Rechnungsjahr 1908, c) eines Gesetzes zur Aenderung des paragraph 2 des Gesetzes betreffend die deutsche Flotte vom 14. Juni 1900 (Reichsgesetzblatt Seite 255) — (Nr. 477, 478, 474 der Anlagen);"moltke-harden; kamarilla; eulenburg";1869–1876;0;politischer Katholizismus;Zentrum;Abgeordneter;katholisch;Winkel;Provinz Hessen-Nassau;4 Koeln;"Reichsgerichtsrat; Amtsrichter; Oberlandesgerichtsrat";Jurist;hier S. 1875f.;nun worte kaiser wilhelms hinzufuegen kaiser friedrich 12 1888 erlass damaligen reichskanzler niedergelegt gemeinsamen grundlage gottesfurcht einfacher sitte aufwachsendes geschlecht hinreichende widerstandskraft besitzen gefahren ueberwinden rascher wirtschaftlicher bewegung beispiele hochgesteigerler lebensfuehrung einzelner gesamtheit erwachsen bezug sommer tiefbedauerlichen eindruck hinterlassen prozess moltke harden (sehr wahr) kamarillagerede norddeutsche allgemeine zeitung nahrung hat endlich aussage fuersten eulenburg aeusserungen majestaet hohenlohe sicherheit verloren tatsache frevlerischer verkehrsbeziehungen offizier soldaten ausserhalb kaserne garderegiments (pfui) find prozess bezug vorkommnisse tatsachen enthuellt sittenbild heidnischen rom entsprechen (sehr wahr mitte) jahren erzaehlt gewissen kreisen perverse neigungen herrschen tatsachen nachgeforscht umgebung monarchen betracht nachrichten geeignet glanze monarchischen ideals abtraeglich kurz entschlossene aussprache kaiserlichen sohns kaiserlichen vater hochgestellte umgebung kaisers entfernt verfehlungen strafgesetzbuch last fielen zeugenaussagen geraeumt ueberhaupt verhallen verdacht verfehlungen nahrung stellung befanden ausserhalb reichs umgebung kaisers kaiser kronprinzen deutsche volk energische rasche eingreifen dankbar (bravo mitte) prozess moltkeharden entlassung anschloss offizier verfuegbare raeume verfuegung stellte unsittlichen verkehr offizieren soldaten beratung lex heinze kommission reichstags beantragt beschlossen arbeitgeber bestrafen stellung arbeitgeber missbrauchend arbeiterin unsittlichem verkehr verleitet arbeitsverhaeltnis prozess betont unsittliche verkehr veranlasst missbrauch dienstgewalt offizieren zusteht soldaten mag anrufung dienstgewalt geschehen disziplin gehorsam umgeben soldaten dienstzeit kaserne verkehr beschraenken einzelne garderegiment harden vielmehr behauptet kavallerieregimenter preussen verseucht verkehr regiment neu alt bekannt (hoert hoert mitte) eintritt garderegiment haengt einzelnen freien entschliessung regimenter koerperliche beschaffenheiten betracht einzelne zugeteilt besorgnis eltern kinder regiments zugeteilt (sehr richtig mitte) besorgnis erfuellen zeitdauer sohn regiment dient draengt richtig nachricht laenger umhergeht kriegsminister vorgaengen bekannt gedenkt kriegsminister huellungen bemerken bevoelkerung verstaendnis angeblich beteiligte offiziere entlassen pension (lebhafte zustimmung) prozess recht unerfreulichen eindruck petersprozess muenchen kritik geuebt entscheidung oberste disziplinarhof reichs gefaellt reichstag mttschoepfer obersten disziplinarhofs reichstag berechtigung kritik inhalt kritik zurueckweisen (bravo mitte) . .
30;Protokolle_1907_11_28_04;Sitzung;XII;I;;229;60;28.11.1907;1907;Ernst Bassermann;Erste Beratung der Entwuerfe a) eines Gesetzes betreffend die Feststellung des Reichshaushaltsetats fuer das Rechnungsjahr 1908, b) eines Gesetzes betreffend die Feststellung des Haushaltsetats fuer die Schutzgebiete auf das Rechnungsjahr 1908, c) eines Gesetzes zur Aenderung des paragraph 2 des Gesetzes betreffend die deutsche Flotte vom 14. Juni 1900 (Reichsgesetzblatt Seite 255) — (Nr. 477, 478, 474 der Anlagen);moltke-harden;1881–1891;0;nationalliberal;Nationalliberale Partei;Abgeordneter;evangelisch;Wolfach;Grossherzogtum Baden;10 Liegnitz;"Rechtsanwalt und Stadtrat; Premierlieutnant der Landwehr-Kavallerie; Rittmeister";Militaer;hier S. 1889f.;ich moechte meinerseits kurzes prozess moltke harden reden ekel abscheu deutsche volk erfuellt prozess enthuellt beklagen deutsche offiziere vergingen untergebenen verstaendlich deutschen armee vorkommen beklagen aufgebauscht auslaendische presse uebergehen hoechst sonderbare auffassungen deutsche sittlichkeit zukunft deutschlands hervorrufen vorgaenge deutschland politisch ausgeschlachtet beklagen bekannt vorfaelle ueberhaupt menge klatsch enthuellt unterschreiben post trauriger schluss hoeheren kreisen unerhoertes denunziantentum sykophantentum gebildet faeulnisprozess verderblicher prozess enthuellen reichskanzler sehr dankbar sittlichen ernst behandelt hat richtig gestellt richte kriegsminister bitte genauere mitteilungen tatsachen moechte namens politischen freunde anschliessen uebertreibung generalisierung verwerfen deutsches volk deutsches offizierkorps deutscher adel sittlich verdorben verlottert enthuellt einzelfaelle einzelne raeudige schafe sozialdemokratischen presse gelesen inneren faeulnis kapitalistischen gesellschaft herrschenden klassen sumpf versunken falsche generalisierung zurueckzuweisen besonders kreisen patrioten weh ansehen deutschen volkes ansasst besprochen ist bedauert umgebung kaisers personen befanden sittlich weise beanstanden anschluss gefragt informierung allerhoechsten stelle verfehlungen vorgekommen reichskanzler kriegsminister diejenigen militaerischen behoerden unmittelbar allerhoechsten person befasst militaerkabinet (sehr richtig nationalliberalen) laufe jahre groessere bedeutung gewonnen las ziehung beanstandung veranlassung richtung regimenter adligen offizieren lause jahre staendig vermehrt regimenter mehrt regimentskommandeure junker adlige aufnehmen klagen ans offizierskreisen (sehr richtig nationalliberalen) militaerkabinett etat generaladjutanten hauptquartier ernsthafte gefragt instanzen umlaufenden geruechten gewusst bedauerlich mangelhaft informiert gewusst bedauerlich allerhoechsten stelle kenntnis moment kronprinzen ueberlassen vater vorgaengen unterrichten weitergesagt preussen sittenpolizei wir beratungen lsx heinze kommission teilgenommen haben erfahren polizei sehr eingehende listen all persoenlichkeiten perverser handlungen verdaechtig sehr scharfes nutze teilweise bedauerlichen teilweise hoechst verbrecherischen individuen geworfen — gefragt polizei bekannt zustaendige stelle (sehr richtig nationalliberalen) — „zukunft gelesen — regimenter verseucht masslose uebertreibung zurueckgewiesen gefragt gesetz gleichmaessig gehandhabt einzelnen personen halt denke besonders chefs leibeskadron gardes corps — nenne — 17 1906 donaueschingen pension regimentsuniform verabschiedet verjaehrt entsteht offizier regimentskommandeur gemeldet gerichtlich verfolgt ehrengericht gestellt (sehr wahr) geschah pension verabschiedet — hypothetisch — handlungen behauptet veruebt armee entfernt erwaegen schwaeche sehr skandal aussen dringen bestimmten personen halt gesetz vollziehen (sehr richtig links) staatsmittel pensionen bewilligen (lebhafte zustimmung links) personen gezahlt strafbare handlungen begehen handlungen kriminell strafbar umstaenden ehrengerichtlichen behandlung unterliegen bekannten rechtsprechung reichsgerichts gebiete strafbar mtlitaerleben hart offiziere anlangt juengst bedauern gehoert hochverdienter admiral deutschen armee geringen ausscheiden falle eindruck erweckt milde namentlich langsam vorgegangen zeitungen mitteilung einleitung ehrengerichtlichen verfahrens geschehen gerichtliches verfahren faellen falle harden moltke kritisch beleuchtet sehr menge schmutz oeffentlicher behandlung dargelegt schliesslich zeitung hause kinder befinden tische liegen (sehr richtig) geschehen gewissermassen staatsraison oeffentlich verhandelt eindruck erweckt gerichte vertuschen (sehr richtig links) einschraenkung eheliche leben einzelner personen ansicht oeffentlichkeit verfahrens ausschliessen (sehr richtig) wozu gesetze vollem umfange handhabe bieten erregt neuerdings deutschen juristenwelt aufsehen prozess weitergeht staatsanwalt erhebung oeffentlichen klage abgelehnt weiss verfuegungen professor koehler beleidigung vorlag irrtum beleidigungs begriff spannen klaerung koerperlich geistig anormal beleidigung gilt dahingestellt instanz gegangen falle moltke harden absehen gesetzgeber unmoeglich angeklagter privatklageverfahren wehren — staatsanwalt oeffentliches interesse greife gang staatsanwalt gut gefallen fange (grosse heiterkeit) vertraegt erachtens absolut interessen angeklagten (lebhafte zustimmung) aeusserung hervorragender deutscher juristen verfahren ansieht abfaellig kurz aeusserungen zitieren bekannter deutscher kriminalist kammergerichtsrat kronecker wissenschaftlichjuristischen welt sehr guten verfahren weise billige staatsanwaltschaft die verfolgung uebernimmt einfach stadium verfolgung uebernehmen befindet sprechen reihe beispielsweise professor kahl sehr bekannter name fruehere oberreichsanwalt hamm professor bindtng leipzig kennen urteil schoeffengerichts prozess moltke harden ergangen betrachten unbegreiflichkeit finde . .
31;Protokolle_1907_11_28_05;Sitzung;XII;I;;229;60;28.11.1907;1907;Dr. Peter Spahn;Erste Beratung der Entwuerfe a) eines Gesetzes betreffend die Feststellung des Reichshaushaltsetats fuer das Rechnungsjahr 1908, b) eines Gesetzes betreffend die Feststellung des Haushaltsetats fuer die Schutzgebiete auf das Rechnungsjahr 1908, c) eines Gesetzes zur Aenderung des paragraph 2 des Gesetzes betreffend die deutsche Flotte vom 14. Juni 1900 (Reichsgesetzblatt Seite 255) — (Nr. 477, 478, 474 der Anlagen);"harden; kamarilla";1891–1892;1;politischer Katholizismus;Zentrum;Abgeordneter;katholisch;Winkel;Provinz Hessen-Nassau;4 Koeln;"Reichsgerichtsrat; Amtsrichter; Oberlandesgerichtsrat";Jurist;;meine sitte hohen hause redner motive unterzuschieben ausgesprochen infolgedessen gruende anzugeben erklaerlich erscheinen reichskanzler erregung bemerkt ausfuehrungen gewandt abgeordneten bassermann erregten form gesprochen liesse reden veranlassung (heiterkeit) genannt gedacht richthofen bemerkung ueberhoert verfahren harden behauptet kavallerieregimenter preussen verseucht hinzugefuegt „und verkehr neu alt bekannt bezog regiment mitgeteilt — aussprechen — bereits beratung lex heinze kommission gesetz gesetzt tatsachen reichstag besprochen (sehr richtig mitte hoert hoert sozialdemokraten) gerechtfertigter entsprach stimmung kreise deutschen volkes behauptungen prozess harden aufgestellt auskunft erteilt (sehr wahr mitte sozialdemokraten) bedaure nunmehr reichskanzlers kriegsminister auskunft erteilt reichskanzler bemerkung adel heer gesprochen gesprochen regiment gesprochen reichskanzler geredet presse nahe verwandt sei vorigen herbst sturze gesprochen kamarillagerede gesprochen waisenknabe bezug presse weiss reichskanzler falsch unterrichtet presse zuschiebt kamarillagerede jahresfrist geruechten gesprochen gegnerische presse speziell freiherr zedlitz wiener zeitung behauptungen aufgestellt (sehr wahr mitte) presse „norddeutsche allgemeine zeitung bezug kamarillagerede erwaehnt erwaehnt mitteilungen hohenlohes memoiren aussagepraesident abgeordneter persoenliche bemerkung enthalten abwehr angriffs aufklaerung missverstaendnisses (lachen mitte) ausfuehrungen rahmen hinausgegangen  spahn abgeordneter praesident reichskanzler speziell bemerkung verbindung (lebhafte zustimmung mitte) glaube stehe boden geschaeftsordnung zurueckweise — — kamarillagerede zuverlaessigkeit eingebuesst reichskanzler erwaehnung „norddeutschen allgemeinen zeitung folgern duerfen geglaubt pressbemerkung verbindung braechte erwaehnen mitte wahlkreise kamarillagerede gebe ausdruck wiederholen erklaeren eroerterungen bemerkung „norddeutschen allgemeinen zeitung bemerkung zusammenhang neu — sehr waisenknabe bezug presse — reichskanzler redaktion „norddeutschen allgemeinen zeitung vertreten verpflichtet gehalten (sehr gut mitte) . .
