;value;words
0;-0.0048;bestrafung
0;-0.0048;bestrafungen
0;-0.0048;nan
0;-0.4913;betrug
0;-0.4913;betrugs
0;-0.4913;betruges
0;-0.4913;betruge
0;-0.3311;betrueger
0;-0.3311;betruegers
0;-0.3311;betruegern
0;-0.0048;beule
0;-0.0048;beulen
0;-0.324;beunruhigung
0;-0.324;beunruhigungen
0;-0.0048;bevormundung
0;-0.0048;bevormundungen
0;-0.0048;bitterkeit
0;-0.0048;bitterkeiten
0;-0.0048;nan
0;-0.0048;blockade
0;-0.0048;blockaden
0;-0.0048;blockierung
0;-0.0048;blockierungen
0;-0.0048;bloedheit
0;-0.0048;bloedheiten
0;-0.0048;bombardement
0;-0.0048;bombardements
0;-0.0048;bombardierung
0;-0.0048;bombardierungen
0;-0.0048;bombe
0;-0.0048;bomben
0;-0.3371;bosheit
0;-0.3371;bosheiten
0;-0.0048;brand
0;-0.0048;braenden
0;-0.0048;braende
0;-0.0048;brandes
0;-0.0048;brands
0;-0.0048;brande
0;-0.3463;bruch
0;-0.3463;bruchs
0;-0.3463;brueche
0;-0.3463;bruches
0;-0.3463;bruechen
0;-0.3463;bruche
0;-0.0048;brutalitaet
0;-0.0048;brutalitaeten
0;-0.3377;bussgeld
0;-0.3377;bussgeldes
0;-0.3377;bussgelds
0;-0.3377;bussgelder
0;-0.3377;bussgeldern
0;-0.3189;boesartigkeit
0;-0.3189;boesartigkeiten
0;-0.0048;boesewicht
0;-0.0048;boesewichten
0;-0.0048;boesewichte
0;-0.0048;boesewichts
0;-0.0048;boesewichtes
0;-0.0048;boesewichter
0;-0.0524;buerde
0;-0.0524;buerden
0;-0.3489;nan
0;-0.1885;crash
0;-0.1885;crashs
0;-0.0048;defekt
0;-0.0048;defekten
0;-0.0048;defekts
0;-0.0048;defektes
0;-0.0048;defekte
0;-0.347;defizit
0;-0.347;defiziten
0;-0.347;defizits
0;-0.347;defizite
0;-0.347;defizites
0;-0.0048;deformation
0;-0.0048;deformationen
0;-0.3137;degradierung
0;-0.3137;degradierungen
0;-0.0048;nan
0;-0.0048;demuetigung
0;-0.0048;demuetigungen
0;-0.0048;denkfehler
0;-0.0048;denkfehlern
0;-0.0048;denkfehlers
0;-0.4951;depression
0;-0.4951;depressionen
0;-0.3413;desaster
0;-0.3413;desastern
0;-0.3413;desasters
0;-0.3348;desinteresse
0;-0.3348;desinteresses
0;-0.0048;dezimierung
0;-0.0048;dezimierungen
0;-0.1962;dieb
0;-0.1962;diebes
0;-0.1962;diebs
0;-0.1962;dieben
0;-0.1962;diebe
0;-0.3505;diebstahl
0;-0.3505;diebstahls
0;-0.3505;diebstaehle
0;-0.3505;diebstahles
0;-0.3505;diebstaehlen
0;-0.4591;diffamierung
0;-0.4591;diffamierungen
0;-0.0048;diktator
0;-0.0048;diktatoren
0;-0.0048;diktators
0;-0.3403;dilemma
0;-0.3403;dilemmas
0;-0.3403;dilemmata
0;-0.0048;diskriminierung
0;-0.0048;diskriminierungen
0;-0.0048;dissens
0;-0.0048;dissensen
0;-0.0048;dissense
0;-0.0048;dissenses
0;-0.0048;dominierung
0;-0.0048;dominierungen
0;-0.0048;doppeldeutigkeit
0;-0.0048;doppeldeutigkeiten
0;-0.0048;doppelspiel
0;-0.0048;doppelspiele
0;-0.0048;doppelspieles
0;-0.0048;doppelspiels
0;-0.0048;doppelspielen
0;-0.0048;dreck
0;-0.0048;dreckes
0;-0.0048;drecks
0;-0.0048;drift
0;-0.0048;driften
0;-0.0048;drohung
0;-0.0048;drohungen
0;-0.3178;drosselung
0;-0.3178;drosselungen
0;-0.4877;dummheit
0;-0.4877;dummheiten
0;-0.0048;dummkopf
0;-0.0048;dummkoepfen
0;-0.0048;dummkopfes
0;-0.0048;dummkoepfe
0;-0.0048;dummkopfs
0;-0.3547;dunkelheit
0;-0.3547;dunkelheiten
0;-0.0048;durcheinander
0;-0.0048;durcheinanders
0;-0.0048;durcheinandern
0;-0.3094;dussel
0;-0.3094;dussels
0;-0.3094;dusseln
0;-0.0048;daempfer
0;-0.0048;daempfern
0;-0.0048;daempfers
0;-0.0048;duerre
0;-0.0048;duerren
0;-0.0048;duesternis
0;-0.0048;duesternissen
0;-0.0048;duesternisse
0;-0.3179;egoist
0;-0.3179;egoisten
0;-0.4743;ehebruch
0;-0.4743;ehebruches
0;-0.4743;ehebruchs
0;-0.4743;ehebrueche
0;-0.4743;ehebruechen
0;-0.0048;einbrecher
0;-0.0048;einbrechers
0;-0.0048;einbrechern
0;-0.3498;einbruch
0;-0.3498;einbrueche
0;-0.3498;einbruches
0;-0.3498;einbruechen
0;-0.3498;einbruchs
0;-0.0048;einbusse
0;-0.0048;einbussen
0;-0.339;einsamkeit
0;-0.339;einsamkeiten
0;-0.0048;einschlag
0;-0.0048;einschlaegen
0;-0.0048;einschlages
0;-0.0048;einschlaege
0;-0.0048;einschlags
0;-0.2048;einschraenkung
0;-0.2048;einschraenkungen
0;-0.0048;einschuechterung
0;-0.0048;einschuechterungen
0;-0.0048;insturz
0;-0.0048;einstuerzen
0;-0.0048;einsturzs
0;-0.0048;einsturzes
0;-0.0048;einstuerze
0;-0.462;ekel
0;-0.462;ekels
0;-0.2013;elend
0;-0.2013;elends
0;-0.2013;elendes
0;-0.0048;empoerung
0;-0.0048;empoerungen
0;-0.2088;ende
0;-0.2088;endes
0;-0.2088;enden
0;-0.0048;nan
0;-0.0048;entbindung
0;-0.0048;entbindungen
0;-0.0048;entfremdung
0;-0.0048;entfremdungen
0;-0.0048;entfuehrung
0;-0.0048;entfuehrungen
0;-0.0048;enthauptung
0;-0.0048;enthauptungen
0;-0.0048;entlassung
0;-0.0048;entlassungen
0;-0.0048;entmutigung
0;-0.0048;entmutigungen
0;-0.3378;enttaeuschung
0;-0.3378;enttaeuschungen
0;-0.0048;entziehung
0;-0.0048;entziehungen
0;-0.0048;epidemie
0;-0.0048;epidemien
0;-0.0048;ermahnung
0;-0.0048;ermahnungen
0;-0.332;ermordung
0;-0.332;ermordungen
0;-0.0048;ermuedung
0;-0.0048;ermuedungen
0;-0.3259;erniedrigung
0;-0.3259;erniedrigungen
0;-0.0048;ernuechterung
0;-0.0048;ernuechterungen
0;-0.0666;erosion
0;-0.0666;erosionen
0;-0.0048;erpressung
0;-0.0048;erpressungen
0;-0.0595;erschoepfung
0;-0.0595;erschoepfungen
0;-0.0048;erschuetterung
0;-0.0048;erschuetterungen
0;-0.0048;explosion
0;-0.0048;explosionen
0;-0.0048;fahrlaessigkeit
0;-0.0048;fahrlaessigkeiten
0;-0.3349;farce
0;-0.3349;farcen
0;-0.0048;faschist
0;-0.0048;faschisten
0;-0.611;nan
0;-0.0048;fehde
0;-0.0048;fehden
0;-0.0048;fehlanzeige
0;-0.0048;fehlanzeigen
0;-0.6752;fehler
0;-0.6752;fehlern
0;-0.6752;fehlers
0;-0.4765;fehlermeldung
0;-0.4765;fehlermeldungen
0;-0.0048;fehlkauf
0;-0.0048;fehlkaufes
0;-0.0048;fehlkaufs
0;-0.0048;fehlkaeufe
0;-0.0048;fehlkaeufen
0;-0.0048;fehlkonstruktion
0;-0.0048;fehlkonstruktionen
0;-0.0048;fehlleistung
0;-0.0048;fehlleistungen
0;-0.0048;fehltritt
0;-0.0048;fehltrittes
0;-0.0048;fehltritten
0;-0.0048;fehltritte
0;-0.0048;fehltritts
0;-0.3461;fehlverhalten
0;-0.3461;fehlverhaltens
0;-0.8054;feind
0;-0.8054;feindes
0;-0.8054;feinde
0;-0.8054;feinds
0;-0.8054;feinden
0;-0.0445;feuer
0;-0.0445;feuern
0;-0.0445;feuers
0;-0.0048;fiasko
0;-0.0048;fiaskos
0;-0.3283;finanzkrise
0;-0.3283;finanzkrisen
0;-0.0048;finte
0;-0.0048;finten
0;-0.0413;flaute
0;-0.0413;flauten
0;-0.3534;fluch
0;-0.3534;fluchs
0;-0.3534;fluechen
0;-0.3534;flueche
0;-0.3534;fluches
0;-0.0048;flucht
0;-0.0048;fluchten
0;-0.0048;fluechtiger
0;-0.0048;fluechtigen
0;-0.0048;fluechtigkeit
