;Unnamed: 0;id;type;legislative_period;session;volume_pdf;volume_protocol;session_number;date;year;speaker;title_toc;search_term;pp;homosexuality_main;political_orientation;party;position;denomination;origin_city;origin_region;constituency;profession;professional_group;comment;speech_sentiment;n_of_lexicon_words;n_of_countable_words
0;0;Protokolle_1897_04_05_01;Sitzung;IX;IV;7;149;206;05. April 1897;1897;Julius Lenzmann;Zweite Berathung des Entwurfs eines Handelsgesetzbuchs nebst Einfuehrungsgesetz (Nr. 632, Zu 632, 735, ad 735 der Anlagen) - paragraphparagraph 70, 71 Kuendigung ohne Kuendigungsfrist;widernat*;5522–5524;0;linksliberal;Deutsche Freisinnige Volkspartei;Abgeordneter;evangelisch;Hagen;Westfalen;3 Arnsberg;"Rechtsanwalt; Notar";Jurist;hier S. 5523f.;-2.6933;0;19
1;1;Protokolle_1898_01_13_01;Sitzung;IX;V;1;159;16;13. Januar 1898;1898;August Bebel;Erste Berathung des von den Abgeordneten Prinz von Arenberg, Groeber, Letocha, Dr. Rintelen, Dr. Spahn, Dr. Stephan eingebrachten Entwurfs eines Gesetzes, betreffend Aenderung und Ergaenzung des Strafgesetzbuchs (Nr. 35 der Anlagen);"widernat*; paragraph175";410–418;0;sozialdemokratisch;SPD;Abgeordneter;Dissident;Koeln;Rheinprovinz;8 Elsass-Lothringen;"Drechslermeister; Schriftsteller";Autor/Journalist;hier S. 410;-1.8292;0;32
2;2;Protokolle_1898_01_19_01;Sitzung;IX;V;1;159;20;19. Januar 1898;1898;Martin Schall ;Fortsetzung und Schluss der ersten Berathung des von den Abgeordneten Prinz von Arenberg, Groeber, Letocha, Dr. Rintelen, Dr. Spahn, Dr. Stephan eingebrachten Entwurfs eines Gesetzes, betreffend Aenderung und Ergaenzung des Strafgesetzbuchs (Nr. 35 der Anlagen);"widernat*; paragraph175";516–519;0;konservativ;Deutschkonservative Partei;Abgeordneter;evangelisch;Schlaupitz;Provinz Schlesien;7 Potsdam;Prediger;Geistlicher;hier S. 516f.;-1.8786;0;19
3;3;Protokolle_1899_03_09_01;Sitzung;X;I;2;166;52;09. Maerz 1899;1899;Ernst Himburg;Erste Berathung des Entwurfs eines Gesetzes, betreffend Aenderungen und Ergaenzungen des Strafgesetzbuchs (Nr. 112 der Anlagen), in Verbindung mit a) der ersten Berathung des von den Abgeordneten Prinz von Arenberg, Groeber, Letocha, Dr. Rintelen, Roeren, Dr. Spahn, Dr. Stephan eingebrachten Entwurfs eines Gesetzes, betreffend Aenderungen und Ergaenzungen des Strafgesetzbuchs (Nr. 31 der Anlagen) und d) der Berathung des Antrages Freiherr von StummHalberg wegen Verschaerfung derjenigen Strafen, welche fuer Sittlichkeitsverbrechen, insbesondere fuer die gegen Kinder gerichteten, vorgesehen sind (Nr. 124 der Anlage);"paragraph175; widernat*";1414–1415;0;konservativ;Deutschkonservative Partei;Abgeordneter;evangelisch;Hohengoehren;Provinz Sachsen;2 Magdeburg;"Amtsgerichtsrat; Rittergutsbesitzer; Prem.-Leutnant a.D. zu Osterburg";Jurist;hier S. 1415;-2.4224;0;23
4;4;Protokolle_1899_03_09_02;Sitzung;X;I;2;166;52;09. Maerz 1899;1899;Dr. med. Friedrich Karl Endemann;Erste Berathung des Entwurfs eines Gesetzes, betreffend Aenderungen und Ergaenzungen des Strafgesetzbuchs (Nr. 112 der Anlagen), in Verbindung mit a) der ersten Berathung des von den Abgeordneten Prinz von Arenberg, Groeber, Letocha, Dr. Rintelen, Roeren, Dr. Spahn, Dr. Stephan eingebrachten Entwurfs eines Gesetzes, betreffend Aenderungen und Ergaenzungen des Strafgesetzbuchs (Nr. 31 der Anlagen) und d) der Berathung des Antrages Freiherr von StummHalberg wegen Verschaerfung derjenigen Strafen, welche fuer Sittlichkeitsverbrechen, insbesondere fuer die gegen Kinder gerichteten, vorgesehen sind (Nr. 124 der Anlage);*sexu*;1415–1417;0;nationalliberal;Nationalliberale Partei;Abgeordneter;evangelisch;Kassel;Provinz Hessen-Nassau;2 Kassel;"Sanitaetsrat; Arzt; Vizebuergermeister (Kassel)";Mediziner;hier S. 1415;-1.1544;0;12
5;5;;;;;;;;;1900;.;.;.;.;;;;;;;;;;;;0;0;0
6;6;Protokolle_1901_02_21_01;Sitzung;X;II;2;180;54;21.02.1901;1901;Graf Franz von Ballestrem;Petitionen, welche zur Eroerterung im Plenum nicht als geeignet erachtet werden (Nr. 128 der Anlagen);"*wissenschaftlich humanitaer*; paragraph175";1506;1;politischer Katholizismus;Zentrum;Praesident;katholisch;Plawniowitz;Provinz Schlesien;4 Oppeln;"Majoratsherr; Major a.D.";Militaer;;-0.7423;0;22
7;7;;;;;;;;;1902;.;.;.;.;;;;;;;;;;;;0;0;0
8;8;Protokolle_1903_01_21_01;Sitzung;X;II;8;186;243;21.01.1903;1903;Max Hugo Liebermann von Sonnenberg;Fortsetzung der ersten Berathung des Entwurfs eines Gesetzes, betreffend die Feststellung des Reichshaushalts-Etats fuer das Rechnungsjahr 1903, in Verbindung mit der ersten Berathung der Entwuerfe a) eines Gesetzes, betreffend die Feststellung des Haushalts-Etats fuer die Schutzgebiete auf das Rechnungsjahr 1903, b) eines Gesetzes, betreffend Verwendung der Mehrertraege der Ueberweisungssteuern zur Schuldentilgung (Nr. 798, 799, 803 der Anlagen);hirschfeld;7458–7463;0;antisemitisch;Deutschsoziale Reformpartei;Abgeordneter;evangelisch;Weisswasser;Provinz Westpreussen;3 Kassel;"Premierlieutnant a. D.; Herausgeber und Eigentuemer der Wochenschrift ""Deutsch-soziale Blaetter"" zu Gr.-Lichterfelde";Militaer;hier S. 7460f.;0.9502;0;5
9;9;Protokolle_1904_06_11_01;Sitzung;XI;I;4;200;96;11.06.1904;1904;Dr. jur. Udo Graf zu Stolberg-Werningerode;"Beratung von Berichten der Petitionskommission -- Der 6., 9. und 19. Bericht (Nr. 307,
310 und 407 der Anlagen) werden
von der Tagesordnung abgesetzt";paragraph175;3111;0;konservativ;Deutschkonservative Partei;Vizepraesident;evangelisch;Berlin;Provinz Brandenburg;6 Gumbinnen;"Wirklicher Geheimer Rat; Oberpraesident z. D.; Generalmajor à la suite der Armee; Besitzer der Fideikommisse Kreppelhof in Schlesien und Doenhoffstaedt in Ostpreussen sowie des Rittergutes Cammin in der Neumark";Verwalter/Beamter;;0.2267;0;1
10;10;Protokolle_1904_06_11_02;Sitzung;XI;I;4;200;96;11.06.1904;1904;Alfred Graf von Hompesch;Beratung von Berichten der Petitionskommission -- Der 6., 9. und 19. Bericht (Nr. 307,;[Kontext];3111;1;politischer Katholizismus;Zentrum;Angeordneter;katholisch;Schloss Doordt;Belgien;4 Aachen;"Rittergutsbesitzer; Koeniglich-Preussischer Kammerherr auf Schloss Rurich bei Linnich";Verwalter/Beamter;;0;0;0
11;11;Protokolle_1904_06_11_03;Sitzung;XI;I;4;200;96;11.06.1904;1904;Dr. jur. Udo Graf zu Stolberg-Werningerode;Beratung von Berichten der Petitionskommission -- Der 6., 9. und 19. Bericht (Nr. 307,;[Kontext];3111;0;konservativ;Deutschkonservative Partei;Vizepraesident;evangelisch;Berlin;Provinz Brandenburg;6 Gumbinnen;"Wirklicher Geheimer Rat; Oberpraesident z. D.; Generalmajor à la suite der Armee; Besitzer der Fideikommisse Kreppelhof in Schlesien und Doenhoffstaedt in Ostpreussen sowie des Rittergutes Cammin in der Neumark";Verwalter/Beamter;;-0.3615;0;2
12;12;Protokolle_1905_03_30_01;Sitzung;XI;I;8;204;176;30.03.1905;1905;Ludwig Werner;Fortsetzung und Schluss der dritten Beratung des Reichshaushaltsetats fuer das Rechnungsjahr 1905 in Verbindung mit dem Haushaltsetat fuer die Schutzgebiete ans das Rechnungsjahr 1905 (Nr. 606, 507, 740 der Anlagen) - Reichsjustizverwaltung;*sexu*;5795–5796;0;antisemitisch;Deutschsoziale Reformpartei;Abgeordneter;evangelisch;Bubenrode;Provinz Hessen-Nassau;6 Kassel;Redakteur;Autor/Journalist;hier S. 5795;-2.7126;0;19
13;13;Protokolle_1905_03_31_01;Sitzung;XI;I;8;204;177;31.03.1905;1905;Friedrich Adolf Thiele;Beratung von Berichten der Petitionskommission - 19. Bericht Aenderung des paragraph 175 des Strafgesetzbuchs (Nr. 407 der Anlagen);"*sexu*; gleichgeschl*; *wissenschaftlich humanitaer*; widernat*; hirschfeld; paragraph175";5826–5832;1;sozialdemokratisch;SPD;Abgeordneter;Dissident;Dresden;Koenigreich Sachsen;8 Merseburg;"Volksschullehrer; Oberlehrer; Redakteur; Schriftsteller; Verleger";Autor/Journalist;;-41.5542;0;414
14;14;Protokolle_1905_03_31_02;Sitzung;XI;I;8;204;177;31.03.1905;1905;Dr. jur. Johann Thaler;Beratung von Berichten der Petitionskommission - 19. Bericht Aenderung des paragraph 175 des Strafgesetzbuchs (Nr. 407 der Anlagen);"*sexu*; paedera*; urni*; urani*; gleichgeschl*; sodom*; *wissenschaftlich humanitaer*; hirschfeld; paragraph175";5832–5837;1;politischer Katholizismus;Zentrum;Abgeordneter;katholisch;Wiesentheid;Koenigreich Bayern;6 Unterfranken;"Justizrat; Rechtsanwalt";Jurist;;-23.8682;0;333
15;15;Protokolle_1905_03_31_03;Sitzung;XI;I;8;204;177;31.03.1905;1905;Wilhelm von Kardorff;Beratung von Berichten der Petitionskommission - 19. Bericht Aenderung des paragraph 175 des Strafgesetzbuchs (Nr. 407 der Anlagen);"*sexu*; paragraph175";5837;1;konservativ;Deutsche Reichspartei;Abgeordneter;evangelisch;Neu-Strelitz;Mecklenburg;3 Breslau;"Landrat a.D.; Rittergutsbesitzer";Verwalter/Beamter;;-2.3999;0;27
16;16;Protokolle_1905_03_31_04;Sitzung;XI;I;8;204;177;31.03.1905;1905;Kurd von Damm;Beratung von Berichten der Petitionskommission - 19. Bericht Aenderung des paragraph 175 des Strafgesetzbuchs (Nr. 407 der Anlagen);"*sexu*; paragraph175";5837;1;antisemitisch;"fraktionslos; Wirtschaftliche Vereinigung";Abgeordneter;evangelisch;Braunschweig;Herzogtum Braunschweig;3 Braunschweig;"Rechtsanwalt; Notar";Jurist;;-3.0661;0;27
17;17;Protokolle_1905_03_31_05;Sitzung;XI;I;8;204;177;31.03.1905;1905;Georg Gothein;Beratung von Berichten der Petitionskommission - 19. Bericht Aenderung des paragraph 175 des Strafgesetzbuchs (Nr. 407 der Anlagen);"*sexu*; paragraph175";5838;1;linksliberal;Fortschrittliche Volkspartei;Abgeordneter;evangelisch;Neumarkt;Provinz Schlesien;2 Stralsund;"Bergrat; Syndikus; Publizist";Verwalter/Beamter;;-3.3606;0;73
18;18;Protokolle_1905_03_31_06;Sitzung;XI;I;8;204;177;31.03.1905;1905;Georg von Vollmar;Beratung von Berichten der Petitionskommission - 19. Bericht Aenderung des paragraph 175 des Strafgesetzbuchs (Nr. 407 der Anlagen);paragraph175;5838–5839;1;sozialdemokratisch;SPD;Abgeordneter;katholisch;Muenchen;Koenigreich Bayern;2 Oberbayern;"Redakteur; Zeitungsherausgeber";Autor/Journalist;;-1.6886;0;25
19;19;Protokolle_1905_03_31_07;Sitzung;XI;I;8;204;177;31.03.1905;1905;Friedrich Adolf Thiele;Beratung von Berichten der Petitionskommission - 19. Bericht Aenderung des paragraph 175 des Strafgesetzbuchs (Nr. 407 der Anlagen);"*sexu*; *wissenschaftlich humanitaer*; hirschfeld; paedera*; paragraph175";5839–5840;1;sozialdemokratisch;SPD;Abgeordneter;Dissident;Dresden;Koenigreich Sachsen;8 Merseburg;"Volksschullehrer; Redakteur/Schriftsteller";Autor/Journalist;;-9.9474;0;131
20;20;Protokolle_1905_03_31_08;Sitzung;XI;I;8;204;177;31.03.1905;1905;Dr. jur. Johann Thaler;Beratung von Berichten der Petitionskommission - 19. Bericht Aenderung des paragraph 175 des Strafgesetzbuchs (Nr. 407 der Anlagen);"*sexu*; widernat*; hirschfeld; paragraph175";5840–5841;1;politischer Katholizismus;Zentrum;Abgeordneter;katholisch;Wiesentheid;Koenigreich Bayern;6 Unterfranken;"Justizrat; Rechtsanwalt";Jurist;;-3.6203;0;95
21;21;Protokolle_1905_03_31_09;Sitzung;XI;I;8;204;177;31.03.1905;1905;Wilhelm von Kardorff;Beratung von Berichten der Petitionskommission - 19. Bericht Aenderung des paragraph 175 des Strafgesetzbuchs (Nr. 407 der Anlagen);;5841–5842;1;konservativ;Deutsche Reichspartei;Abgeordneter;evangelisch;Neu-Strelitz;Mecklenburg;3 Breslau;"Landrat a.D.; Rittergutsbesitzer";Verwalter/Beamter;;-0.3237;0;17
22;22;Protokolle_1905_03_31_10;Sitzung;XI;I;8;204;177;31.03.1905;1905;Friedrich Adolf Thiele;Beratung von Berichten der Petitionskommission - 19. Bericht Aenderung des paragraph 175 des Strafgesetzbuchs (Nr. 407 der Anlagen);"*sexu*; *wissenschaftlich humanitaer*; paragraph175";5842;1;sozialdemokratisch;SPD;Abgeordneter;Dissident;Dresden;Koenigreich Sachsen;8 Naumburg;"Volksschullehrer; Oberlehrer; Redakteur; Schriftsteller; Verleger";Autor/Journalist;;0.3315;0;26
23;23;Protokolle_1905_03_31_11;Sitzung;XI;I;8;204;177;31.03.1905;1905;Graf Franz von Ballestrem;Beratung von Berichten der Petitionskommission - 19. Bericht Aenderung des paragraph 175 des Strafgesetzbuchs (Nr. 407 der Anlagen);paragraph175;5842;1;politischer Katholizismus;Zentrum;Praesident ;katholisch;Plawniowitz;Provinz Schlesien;4 Oppeln;"Majoratsherr; Major a.D.";Militaer;;0.2825;0;3
24;24;Protokolle_1905_05_12_01;Sitzung;XI;I;8;204;184;12.05.1905;1905;Wolfgang Heine;Beratung von Berichten der Petitionskommission: 9. Bericht - Unterdrueckung schlechter Literatur- und Kunsterzeugnisse (Nr. 310 der Anlagen);widernat*;5979;0;sozialdemokratisch;SPD;Abgeordneter;evangelisch;Posen;Provinz Posen;3 Berlin;Rechtsanwalt;Jurist;hier S. 5979;-0.6485;0;23
25;25;Protokolle_1906_03_03_01;Sitzung;XI;II;2;215;56;03.03.1906;1906;D. Christian Adolf Stoecker;Fortsetzung der zweiten Beratung des Reichshaushaltsetats fuer das Rechnungsjahr 1906, — Reichsjustizverwaltung (Fortsetzung und Schluss) -  Besoldung des Staatssekretaers, bezw. Rechtspflege im allgemeinen — (Fortsetzung und Schluss der Diskussion) — Zeugenvernehmungen, Vertrauen zur Rechtsprechung bezw. Beschwerden ueber dieselbe, Bekaempfung der unsittlichen Literatur usw., Gesinderecht, Wechselprotestverfahren, Pyritzer Verhaeltnisse usw.;*sexu*;1710–1713;0;antisemitisch;Christlich-soziale Partei;Abgeordneter;evangelisch;Halberstadt;Provinz Sachsen;1 Arnsberg;Hof- und Domprediger a.D.;Geistlicher;hier S. 1712;-1.2888;0;13
26;26;Protokolle_1907_03_02_01;Sitzung;XII;I;;227;8;02.03.1907;1907;Dr. jur. can. Franz Xaver Schaedler;Fortsetzung der ersten Beratung: a) des Entwurfs eines Gesetzes betreffend die Feststellung des Reichshaushaltsetats fuer das Rechnungsjahr 1907, b) des Entwurfs eines Gesetzes betreffend die Feststellung des Haushaltsetats fuer die Schutzgebiete auf das Rechnungsjahr 1907, c) der Ergaenzung zum Entwurf des Reichshaushaltsetats fuer das Rechnungsahr 1907, (Nr. 9, 10, 74 der Anlagen);"eulenburg; philister";176–188;0;politischer Katholizismus;Zentrum;Abgeordneter;katholisch;Oggersheim;Koenigreich Bayern;5 Oberfranken;"Domdechant; apostolischer Protonotar; paepstlicher Hauspraelat; erzbischoeflicher Geistlicher Rat";Geistlicher;hier S. 183, eulenburg nur in Zuruf!;0.2986;0;7
27;27;Protokolle_1907_11_28_01;Sitzung;XII;I;;229;60;28.11.1907;1907;Bernhard Fuerst von Buelow;Erste Beratung der Entwuerfe a) eines Gesetzes betreffend die Feststellung des Reichshaushaltsetats fuer das Rechnungsjahr 1908, b) eines Gesetzes betreffend die Feststellung des Haushaltsetats fuer die Schutzgebiete auf das Rechnungsjahr 1908, c) eines Gesetzes zur Aenderung des paragraph 2 des Gesetzes betreffend die deutsche Flotte vom 14. Juni 1900 (Reichsgesetzblatt Seite 255) — (Nr. 477, 478, 474 der Anlagen);"sodom*; moltke-harden; kamarilla; eulenburg; ";1880–1881;1;k.A.;parteilos;Reichskanzler;evangelisch;Klein Flottbek;Hansestadt Hamburg;;"Jurist; Diplomat; Staatssekretaer; Riechskanzler";Verwalter/Beamter;;-12.3408;0;116
28;28;Protokolle_1907_11_28_02;Sitzung;XII;I;;229;60;28.11.1907;1907;Karl Friedrich Freiherr von Richthofen-Damsdorf;Erste Beratung der Entwuerfe a) eines Gesetzes betreffend die Feststellung des Reichshaushaltsetats fuer das Rechnungsjahr 1908, b) eines Gesetzes betreffend die Feststellung des Haushaltsetats fuer die Schutzgebiete auf das Rechnungsjahr 1908, c) eines Gesetzes zur Aenderung des paragraph 2 des Gesetzes betreffend die deutsche Flotte vom 14. Juni 1900 (Reichsgesetzblatt Seite 255) — (Nr. 477, 478, 474 der Anlagen);"paragraph175; widernat*";1876–1879;0;konservativ;Deutschkonservative Partei;Abgeordneter;evangelisch;Berlin;Provinz Brandenburg;9 Breslau;"Rittergutsbesitzer; Regierungsrat; Oberregierungsrat a. D.; Rittmeister a. D. zu Kohlhoehe";Verwalter/Beamter;hier S. 1879;-0.7634;0;17
29;29;Protokolle_1907_11_28_03;Sitzung;XII;I;;229;60;28.11.1907;1907;Dr. Peter Spahn;Erste Beratung der Entwuerfe a) eines Gesetzes betreffend die Feststellung des Reichshaushaltsetats fuer das Rechnungsjahr 1908, b) eines Gesetzes betreffend die Feststellung des Haushaltsetats fuer die Schutzgebiete auf das Rechnungsjahr 1908, c) eines Gesetzes zur Aenderung des paragraph 2 des Gesetzes betreffend die deutsche Flotte vom 14. Juni 1900 (Reichsgesetzblatt Seite 255) — (Nr. 477, 478, 474 der Anlagen);"moltke-harden; kamarilla; eulenburg";1869–1876;0;politischer Katholizismus;Zentrum;Abgeordneter;katholisch;Winkel;Provinz Hessen-Nassau;4 Koeln;"Reichsgerichtsrat; Amtsrichter; Oberlandesgerichtsrat";Jurist;hier S. 1875f.;-3.7858;0;55
30;30;Protokolle_1907_11_28_04;Sitzung;XII;I;;229;60;28.11.1907;1907;Ernst Bassermann;Erste Beratung der Entwuerfe a) eines Gesetzes betreffend die Feststellung des Reichshaushaltsetats fuer das Rechnungsjahr 1908, b) eines Gesetzes betreffend die Feststellung des Haushaltsetats fuer die Schutzgebiete auf das Rechnungsjahr 1908, c) eines Gesetzes zur Aenderung des paragraph 2 des Gesetzes betreffend die deutsche Flotte vom 14. Juni 1900 (Reichsgesetzblatt Seite 255) — (Nr. 477, 478, 474 der Anlagen);moltke-harden;1881–1891;0;nationalliberal;Nationalliberale Partei;Abgeordneter;evangelisch;Wolfach;Grossherzogtum Baden;10 Liegnitz;"Rechtsanwalt und Stadtrat; Premierlieutnant der Landwehr-Kavallerie; Rittmeister";Militaer;hier S. 1889f.;-7.2356;0;89
31;31;Protokolle_1907_11_28_05;Sitzung;XII;I;;229;60;28.11.1907;1907;Dr. Peter Spahn;Erste Beratung der Entwuerfe a) eines Gesetzes betreffend die Feststellung des Reichshaushaltsetats fuer das Rechnungsjahr 1908, b) eines Gesetzes betreffend die Feststellung des Haushaltsetats fuer die Schutzgebiete auf das Rechnungsjahr 1908, c) eines Gesetzes zur Aenderung des paragraph 2 des Gesetzes betreffend die deutsche Flotte vom 14. Juni 1900 (Reichsgesetzblatt Seite 255) — (Nr. 477, 478, 474 der Anlagen);"harden; kamarilla";1891–1892;1;politischer Katholizismus;Zentrum;Abgeordneter;katholisch;Winkel;Provinz Hessen-Nassau;4 Koeln;"Reichsgerichtsrat; Amtsrichter; Oberlandesgerichtsrat";Jurist;;-1.0657;0;21
32;32;Protokolle_1907_11_29_01;Sitzung;XII;I;;229;61;29.11.1907;1907;August Bebel;Fortsetzung der ersten Beratung der Entwuerfe a) eines Gesetzes betreffend die Feststellung des Reichshaushaltsetats fuer das Rechnungsjahr 1908, b) eines Gesetzes betreffend die Feststellung des Haushaltsetats fuer die Schutzgebiete auf das Rechnungsjahr 1908, c) eines Gesetzes zur Aenderung des paragraph 2 des Gesetzes betreffend die deutsche Flotte vom 14. Juni 1900 (Reichsgesetzblatt Seite 255) — (Nr. 477, 478, 474 der Anlagen);"moltke-harden; lesbi*; liebenberger; eulenburg; kamarilla; paragraph175";1899–1913;1;sozialdemokratisch;SPD;Abgeordneter;Dissident;Koeln;Rheinprovinz;1 Hamburg;"Drechslermeister; Schriftsteller";Autor/Journalist;;-10.1263;0;673
33;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0
