;Unnamed: 0;id;type;legislative_period;session;volume_pdf;volume_protocol;session_number;date;year;speaker;title_toc;search_term;pp;homosexuality_main;political_orientation;party;position;denomination;origin_city;origin_region;constituency;profession;professional_group;comment;speech_sentiment;n_of_lexicon_words;n_of_countable_words
57;55;Protokolle_1908_02_05_01;Sitzung;XII;I;;230;95;05.02.1908;1908;Wilhelm Vogt;Fortsetzung der zweiten Beratung des Reichshaushaltsetats fuer das Rechnungsjahr 1908 - Verwaltung des Reichsheeres, Preussen, Besoldung des Kriegsministers (Fortsetzung und Schluss der Diskussion);moltke-harden;2901–2905;0;antisemitisch;Bund der Landwirte;Abgeordneter;evangelisch;Gochsen;Koenigreich Wuerttemberg;11 Wuerttemberg;Landwirt;Landwirt;hier S. 2904;0.3946;0;20
58;56;Protokolle_1908_02_05_02;Sitzung;XII;I;;230;95;05.02.1908;1908;Dr. jur. Ernst Mueller;Fortsetzung der zweiten Beratung des Reichshaushaltsetats fuer das Rechnungsjahr 1908 - Verwaltung des Reichsheeres, Preussen, Besoldung des Kriegsministers (Fortsetzung und Schluss der Diskussion);moltke-harden;2906–2910;0;linksliberal;Fortschrittliche Volkspartei;Abgeordneter;evangelisch;Muehlhof;Koenigreich Bayern;1 Sachsen-Meiningen;Koeniglicher Landgerichtsrat;Jurist;hier S. 2907;-0.3479;0;13
59;57;Protokolle_1908_02_06_01;Sitzung;XII;I;;230;96;06.02.1908;1908;Carl von Elern;Fortsetzung der zweiten Beratung des Reichshaushaltsetats fuer das Rechnungsjahr 1908 - Hoehere Truppenbefehlshaber, Offiziere in besonderen Stellungen;moltke;2955;0;konservativ;Deutschkonservative Partei;"Abgeordneter; Berichterstatter";evangelisch;Krotoschin;Provinz Posen;5 Koenigsberg;"Leutnant; Major; Oberst z. D.; Landrat a. D.; Rittergutsbesitzer";Militaer;hier S. 2955;-1.1719;0;13
60;58;Protokolle_1908_02_06_02;Sitzung;XII;I;;230;96;06.02.1908;1908;Daniel Stuecklen;Fortsetzung der zweiten Beratung des Reichshaushaltsetats fuer das Rechnungsjahr 1908 - Militaerjustizverwaltung;paragraph175;2940–2947;0;sozialdemokratisch;SPD;Abgeordneter;Dissident;Nuernberg;Koenigreich Bayern;15 Sachsen;"Redakteur; Feingoldschlaeger";Autor/Journalist;hier S. 2946;-0.7764;0;6
61;59;Protokolle_1908_02_18_01;Sitzung;XII;I;;230;104;18.02.1908;1908;Dr. jur. Eduard Wagner;Fortsetzung der zweiten Beratung des Reichshaushaltsetats fuer das Rechnungsjahr 1908: 3. Reichsjustizverwaltung - Besoldung des Staatssekretaers;"moltke; harden";3232–3236;0;konservativ;Deutschkonservative Partei;Abgeordneter;evangelisch;Meerane;Koenigreich Sachsen;9 Sachsen;Landrichter;Jurist;hier S. 3235f.;-2.9884;0;79
62;60;Protokolle_1908_02_18_02;Sitzung;XII;I;;230;104;18.02.1908;1908;Dr. jur. Karl Rudolf Heinze;Fortsetzung der zweiten Beratung des Reichshaushaltsetats fuer das Rechnungsjahr 1908: 3. Reichsjustizverwaltung - Besoldung des Staatssekretaers;"moltke-harden; eulenburg";3237–3242;0;nationalliberal;Nationalliberale Partei;Abgeordneter;evangelisch;Oldenburg;Grossherzogtum Oldenburg;5 Sachsen;Landgerichtsdirektor;Jurist;hier S. 3241f.;1.579;0;28
63;61;Protokolle_1908_02_19_01;Sitzung;XII;I;;230;105;19.02.1908;1908;Arthur Stadthagen;Fortsetzung der zweiten Beratung des Reichshaushaltsetats fuer das Rechnungsjahr 1908 - Reichsjustizverwaltung, Besoldung des Staatssekretaers (Fortsetzung der Diskussion);harden;3245–3261;0;sozialdemokratisch;SPD;Abgeordneter;juedisch;Berlin;Provinz Brandenburg;6 Potsdam;"Fachschriftsteller; Redakteur; Rechtsanwalt; Rechtsberater";Jurist;hier S. 3247f.;-0.6846;0;5
64;62;Protokolle_1908_02_19_02;Sitzung;XII;I;;230;105;19.02.1908;1908;Dr. jur. Bruno Ablass;Fortsetzung der zweiten Beratung des Reichshaushaltsetats fuer das Rechnungsjahr 1908 - Reichsjustizverwaltung, Besoldung des Staatssekretaers (Fortsetzung der Diskussion);moltke-harden;3270–3278;0;linksliberal;Fortschrittliche Volkspartei;Abgeordneter;evangelisch;Bunzlau;Provinz Schlesien;8 Liegnitz;"Rechtsanwalt; Notar";Jurist;hier S. 2372f.;-1.8281;0;29
65;63;Protokolle_1908_02_20_01;Sitzung;XII;I;;230;106;20.02.1908;1908;Jonathan Roth;Fortsetzung der zweiten Beratung des Reichshaushaltsetats fuer das Rechnungsjahr 1908 - Reichsjustizverwaltung, Besoldung des Staatssekretaers (Fortsetzung der Diskussion);moltke-harden;3280–3284;0;antisemitisch;Bund der Landwirte;Abgeordneter;evangelisch;Eltingen;Koenigreich Wuerttemberg;4 Wuerttemberg;Rechtsanwalt;Jurist;hier S. 3283f.;-3.6936;0;50
66;64;Protokolle_1908_02_20_02;Sitzung;XII;I;;230;106;20.02.1908;1908;Heinrich Dove;Fortsetzung der zweiten Beratung des Reichshaushaltsetats fuer das Rechnungsjahr 1908 - Reichsjustizverwaltung, Besoldung des Staatssekretaers (Fortsetzung der Diskussion);moltke-harden;3284–3288;0;linksliberal;Fortschrittliche Volkspartei;Abgeordneter;evangelisch;Berlin;Provinz Brandenburg;2 Merseburg;"Landgerichtsrat a. D.; Syndikus der Handelskammer zu Berlin";Jurist;hier S. 3287;-0.5717;0;14
