;stopwords;n_of_lexicon_words
601;kuenftig;0
602;l;0
603;la;0
604;lag;0
605;lage;0
606;lagen;0
607;lang;0
608;lange;0
609;langer;0
611;lassen;0
612;laut;0
613;lediglich;0
615;legen;0
616;legte;0
617;legten;0
618;leider;0
619;lesen;0
620;letze;0
621;letzten;0
622;letztendlich;0
623;letztens;0
624;letztes;0
625;letztlich;0
626;leute;0
627;lich;0
628;lichen;0
629;lichten;0
630;liegt;0
631;liest;0
632;ließ;0
633;links;0
634;lit;0
635;loco;0
636;loose;0
637;lung;0
638;laengst;0
639;laengstens;0
640;laeßt;0
641;m;0
642;mache;0
643;machen;0
644;machst;0
646;machte;0
647;machten;0
650;mai;0
651;mal;0
652;man;0
653;manche;0
654;manchem;0
655;manchen;0
656;mancher;0
657;mancherorts;0
658;manches;0
659;manchmal;0
660;mann;0
661;margin;0
662;mehr;0
663;mehrere;0
664;mein;0
665;meine;0
666;meinem;0
667;meinen;0
668;meiner;0
669;meines;0
670;meist;0
671;meiste;0
672;meisten;0
673;men;0
674;meta;0
675;meter;0
676;mich;0
677;mindestens;0
678;mir;0
679;mit;0
680;mithin;0
681;mittel;0
682;mittwoch;0
683;mn;0
685;montag;0
686;morgen;0
687;morgens;0
688;morgige;0
689;mosse;0
690;mt;0
691;mts;0
692;muessen;0
693;muesst;0
694;muesste;0
695;muss;0
696;musst;0
697;musste;0
698;mussten;0
699;muß;0
700;mußt;0
701;mußte;0
702;mußten;0
703;maer;0
704;maerz;0
713;moeglicherweise;0
714;muesse;0
715;muessen;0
716;muesste;0
717;muessten;0
718;mueße;0
719;mueßen;0
720;mueßt;0
721;mueßte;0
722;n;0
723;nach;0
724;nachdem;0
725;nacher;0
726;nachhinein;0
727;nachm;0
728;nachmittags;0
729;nacht;0
732;nahm;0
733;namen;0
734;natuerlich;0
735;neben;0
736;nebenan;0
737;nebst;0
738;nehmen;0
739;nein;0
740;nen;0
741;neun;0
742;new;0
743;nicht;0
744;nichts;0
745;nie;0
746;niemals;0
747;niemand;0
748;nimm;0
749;nimmer;0
750;nimmt;0
751;nirgends;0
752;nirgendwo;0
753;nm;0
754;noch;0
755;nov;0
756;november;0
757;nr;0
758;nrs;0
759;nun;0
760;nur;0
762;nutzt;0
763;nutzung;0
765;naehe;0
768;naemlich;0
769;noetigenfalls;0
770;o;0
771;ob;0
772;oben;0
773;ober;0
774;oberhalb;0
775;obgleich;0
776;obschon;0
777;obwohl;0
778;oct;0
779;october;0
780;oder;0
781;oest;0
782;oet;0
783;of;0
784;off;0
785;offen;0
786;oft;0
787;ohne;0
788;okt;0
789;oktober;0
790;p;0
791;per;0
792;peter;0
793;pfui;0
794;ploetzlich;0
795;poste;0
796;pr;0
797;pro;0
798;q;0
799;r;0
800;rath;0
801;re;0
802;reagiere;0
803;reagieren;0
804;reagiert;0
805;reagierte;0
807;rede;0
808;regelmaeßig;0
809;rente;0
810;resp;0
811;rh ur;0
812;richten;0
813;rief;0
814;rund;0
815;rung;0
816;s;0
817;sache;0
818;sage;0
819;sagen;0
820;sagt;0
821;sagte;0
822;sagten;0
823;sagtest;0
824;samstag;0
825;sang;0
826;sangen;0
827;sch;0
828;sche;0
829;schein;0
830;scheint;0
831;schen;0
833;schließlich;0
834;schon;0
835;schreibe;0
836;schreiben;0
